PbTyp;PbNahmeDatum;Parameter;Einheiten;Wert Text;CAS;Gruppe;DauerPN_h;Q_m3_s;M_in_mg_L;Tage;Datum_Start;mg_pro_24h
WASSER;17.03.2013;Metolachlor-morpholinon;µg/L;0.005;120375-14-6;Metabolite;24;851.1;5;1;16.03.2013;5
WASSER;17.03.2013;Metoprolol;µg/L;0.014;37350-58-6;Arzneimittel;24;851.1;14;1;16.03.2013;14
WASSER;17.03.2013;Sulfamethoxazol;µg/L;0.014;723-46-6;Arzneimittel;24;851.1;14;1;16.03.2013;14
WASSER;17.03.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.12;29385-43-1;Einzelstoffe;24;851.1;120;1;16.03.2013;120
WASSER;17.03.2013;Tizanidin;µg/L;0.022;51322-75-9;Arzneimittel;24;851.1;22;1;16.03.2013;22
WASSER;17.03.2013;Toluol-4-sulfonsäure;µg/L;0.023;104-15-4;Einzelstoffe;24;851.1;23;1;16.03.2013;23
WASSER;17.03.2013;Valsartan;µg/L;0.052;137862-53-4;Arzneimittel;24;851.1;52;1;16.03.2013;52
WASSER;17.03.2013;Venlafaxin;µg/L;0.011;93413-69-5;Arzneimittel;24;851.1;11;1;16.03.2013;11
WASSER;17.03.2013;Surfynol 104;µg/L;0.15;126-86-3;Einzelstoffe;24;851.1;150;1;16.03.2013;150
WASSER;18.03.2013;1,1,1-Trichlorethan;µg/L;0.001;71-55-6;LHKW;24;795.83;1;1;17.03.2013;1
WASSER;18.03.2013;Dichlormethan;µg/L;0.1;75-09-2;LHKW;24;795.83;100;1;17.03.2013;100
WASSER;18.03.2013;Hexachlorethan;µg/L;0.001;67-72-1;LHKW;24;795.83;1;1;17.03.2013;1
WASSER;18.03.2013;Tetrachlorethen;µg/L;0.024;127-18-4;LHKW;24;795.83;24;1;17.03.2013;24
WASSER;18.03.2013;Tetrachlormethan;µg/L;0.001;56-23-5;LHKW;24;795.83;1;1;17.03.2013;1
WASSER;18.03.2013;Trichlorethen;µg/L;0.003;79-01-6;LHKW;24;795.83;3;1;17.03.2013;3
WASSER;18.03.2013;4-Dimethylaminopyridin;µg/L;0.036;1122-58-3;Einzelstoffe;24;795.83;36;1;17.03.2013;36
WASSER;18.03.2013;4-Formylaminoantipyrin;µg/L;0.037;1672-58-8;Metabolite;24;795.83;37;1;17.03.2013;37
WASSER;18.03.2013;4-Trifluormethyl-phenol;µg/L;0.066;402-45-9;Einzelstoffe;24;795.83;66;1;17.03.2013;66
WASSER;18.03.2013;Acesulfam;µg/L;1.3;33665-90-6;Suessstoffe;24;795.83;1300;1;17.03.2013;1300
WASSER;18.03.2013;Atenololsäure;µg/L;0.059;56392-14-4;Metabolite;24;795.83;59;1;17.03.2013;59
WASSER;18.03.2013;Atrazin;µg/L;0.006;1912-24-9;Pestizide;24;795.83;6;1;17.03.2013;6
WASSER;18.03.2013;Benzotriazol;µg/L;0.25;95-14-7;Einzelstoffe;24;795.83;250;1;17.03.2013;250
WASSER;18.03.2013;Carbamazepin;µg/L;0.033;298-46-4;Arzneimittel;24;795.83;33;1;17.03.2013;33
WASSER;18.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.034;58955-93-4;Metabolite;24;795.83;34;1;17.03.2013;34
WASSER;18.03.2013;Carbendazim;µg/L;0.008;10605-21-7;Pestizide;24;795.83;8;1;17.03.2013;8
WASSER;18.03.2013;Chlortoluron;µg/L;0.003;15545-48-9;Pestizide;24;795.83;3;1;17.03.2013;3
WASSER;18.03.2013;Clarithromycin;µg/L;0.008;81103-11-9;Arzneimittel;24;795.83;8;1;17.03.2013;8
WASSER;18.03.2013;Cyclohexylsulfaminsäure;µg/L;0.027;100-88-9;Suessstoffe;24;795.83;27;1;17.03.2013;27
WASSER;18.03.2013;Cyproconazol;µg/L;0.033;94361-06-5;Pestizide;24;795.83;33;1;17.03.2013;33
WASSER;18.03.2013;DEET;µg/L;0.014;134-62-3;Pestizide;24;795.83;14;1;17.03.2013;14
WASSER;18.03.2013;Desethylatrazin;µg/L;0.007;6190-65-4;Metabolite;24;795.83;7;1;17.03.2013;7
WASSER;18.03.2013;Diclofenac;µg/L;0.023;15307-79-6;Arzneimittel;24;795.83;23;1;17.03.2013;23
WASSER;18.03.2013;Diuron;µg/L;0.007;330-54-1;Pestizide;24;795.83;7;1;17.03.2013;7
WASSER;18.03.2013;Hydrochlorothiazid;µg/L;0.026;58-93-5;Arzneimittel;24;795.83;26;1;17.03.2013;26
WASSER;18.03.2013;Isoproturon;µg/L;0.001;34123-59-6;Pestizide;24;795.83;1;1;17.03.2013;1
WASSER;18.03.2013;Lamotrigin;µg/L;0.03;84057-84-1;Arzneimittel;24;795.83;30;1;17.03.2013;30
WASSER;18.03.2013;Levetiracetam;µg/L;0.016;102767-28-2;Arzneimittel;24;795.83;16;1;17.03.2013;16
WASSER;18.03.2013;Lidocain;µg/L;0.011;137-58-6;Arzneimittel;24;795.83;11;1;17.03.2013;11
WASSER;18.03.2013;Metformin;µg/L;0.55;657-24-9;Arzneimittel;24;795.83;550;1;17.03.2013;550
WASSER;18.03.2013;Metolachlor;µg/L;0.008;51218-45-2;Pestizide;24;795.83;8;1;17.03.2013;8
WASSER;18.03.2013;Metolachlor-ESA;µg/L;0.014;171118-09-5;Metabolite;24;795.83;14;1;17.03.2013;14
WASSER;18.03.2013;Metoprolol;µg/L;0.016;37350-58-6;Arzneimittel;24;795.83;16;1;17.03.2013;16
WASSER;18.03.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.26;83-15-8;Metabolite;24;795.83;260;1;17.03.2013;260
WASSER;18.03.2013;Paracetamol;µg/L;0.017;103-90-2;Arzneimittel;24;795.83;17;1;17.03.2013;17
WASSER;18.03.2013;Saccharin;µg/L;0.077;81-07-2;Suessstoffe;24;795.83;77;1;17.03.2013;77
WASSER;18.03.2013;Sitagliptin;µg/L;0.013;486460-32-6;Arzneimittel;24;795.83;13;1;17.03.2013;13
WASSER;18.03.2013;Sucralose;µg/L;0.11;56038-13-2;Suessstoffe;24;795.83;110;1;17.03.2013;110
WASSER;18.03.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.11;KEINE NUMMER MOEGLICH;Metabolite;24;795.83;110;1;17.03.2013;110
WASSER;18.03.2013;Summe Iomeprol und Iopamidol;µg/L;0.89;KEINE NUMMER MOEGLICH;Roentgenkontrastmittel;24;795.83;890;1;17.03.2013;890
WASSER;18.03.2013;Summe O-Desvenlafaxin und N-Desvenlafaxin und Tramadol;µg/L;0.025;KEINE NUMMER MOEGLICH;Arzneimittel;24;795.83;25;1;17.03.2013;25
WASSER;18.03.2013;Telmisartan;µg/L;0.011;144701-48-4;Arzneimittel;24;795.83;11;1;17.03.2013;11
WASSER;18.03.2013;Tizanidin;µg/L;0.016;51322-75-9;Arzneimittel;24;795.83;16;1;17.03.2013;16
WASSER;18.03.2013;Toluol-4-sulfonsäure;µg/L;0.01;104-15-4;Einzelstoffe;24;795.83;10;1;17.03.2013;10
WASSER;18.03.2013;Valsartan;µg/L;0.08;137862-53-4;Arzneimittel;24;795.83;80;1;17.03.2013;80
WASSER;18.03.2013;Valsartansäure;µg/L;0.025;164265-78-5;Metabolite;24;795.83;25;1;17.03.2013;25
WASSER;18.03.2013;Venlafaxin;µg/L;0.009;93413-69-5;Arzneimittel;24;795.83;9;1;17.03.2013;9
WASSER;18.03.2013;4-Dimethylaminopyridin;µg/L;0.041;1122-58-3;Einzelstoffe;24;795.83;41;1;17.03.2013;41
WASSER;18.03.2013;Acesulfam;µg/L;0.82;33665-90-6;Suessstoffe;24;795.83;820;1;17.03.2013;820
WASSER;18.03.2013;Atenolol;µg/L;0.012;29122-68-7;Arzneimittel;24;795.83;12;1;17.03.2013;12
WASSER;18.03.2013;Atrazin;µg/L;0.005;1912-24-9;Pestizide;24;795.83;5;1;17.03.2013;5
WASSER;18.03.2013;Azoxystrobinsäure;µg/L;0.002;131860-33-8;Metabolite;24;795.83;2;1;17.03.2013;2
WASSER;18.03.2013;Benzotriazol;µg/L;0.26;95-14-7;Einzelstoffe;24;795.83;260;1;17.03.2013;260
WASSER;18.03.2013;Carbamazepin;µg/L;0.029;298-46-4;Arzneimittel;24;795.83;29;1;17.03.2013;29
WASSER;18.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.03;58955-93-4;Metabolite;24;795.83;30;1;17.03.2013;30
WASSER;18.03.2013;Carbendazim;µg/L;0.008;10605-21-7;Pestizide;24;795.83;8;1;17.03.2013;8
WASSER;18.03.2013;Chlortoluron;µg/L;0.001;15545-48-9;Pestizide;24;795.83;1;1;17.03.2013;1
WASSER;18.03.2013;Clarithromycin;µg/L;0.009;81103-11-9;Arzneimittel;24;795.83;9;1;17.03.2013;9
WASSER;18.03.2013;Cyproconazol;µg/L;0.022;94361-06-5;Pestizide;24;795.83;22;1;17.03.2013;22
WASSER;18.03.2013;DEET;µg/L;0.016;134-62-3;Pestizide;24;795.83;16;1;17.03.2013;16
WASSER;18.03.2013;Desethylatrazin;µg/L;0.007;6190-65-4;Metabolite;24;795.83;7;1;17.03.2013;7
WASSER;18.03.2013;Diclofenac;µg/L;0.034;15307-79-6;Arzneimittel;24;795.83;34;1;17.03.2013;34
WASSER;18.03.2013;Diuron;µg/L;0.005;330-54-1;Pestizide;24;795.83;5;1;17.03.2013;5
WASSER;18.03.2013;Iopromid;µg/L;0.2;73334-07-3;Arzneimittel;24;795.83;200;1;17.03.2013;200
WASSER;18.03.2013;Isoproturon;µg/L;0.002;34123-59-6;Pestizide;24;795.83;2;1;17.03.2013;2
WASSER;18.03.2013;Mecoprop;µg/L;0.006;7085-19-0;Pestizide;24;795.83;6;1;17.03.2013;6
WASSER;18.03.2013;Metformin;µg/L;0.51;657-24-9;Arzneimittel;24;795.83;510;1;17.03.2013;510
WASSER;18.03.2013;Metolachlor;µg/L;0.008;51218-45-2;Pestizide;24;795.83;8;1;17.03.2013;8
WASSER;18.03.2013;Metolachlor-ESA;µg/L;0.014;171118-09-5;Metabolite;24;795.83;14;1;17.03.2013;14
WASSER;18.03.2013;Metolachlor-morpholinon;µg/L;0.005;120375-14-6;Metabolite;24;795.83;5;1;17.03.2013;5
WASSER;18.03.2013;Metoprolol;µg/L;0.014;37350-58-6;Arzneimittel;24;795.83;14;1;17.03.2013;14
WASSER;18.03.2013;Sulfamethoxazol;µg/L;0.013;723-46-6;Arzneimittel;24;795.83;13;1;17.03.2013;13
WASSER;18.03.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.14;29385-43-1;Einzelstoffe;24;795.83;140;1;17.03.2013;140
WASSER;18.03.2013;Tizanidin;µg/L;0.024;51322-75-9;Arzneimittel;24;795.83;24;1;17.03.2013;24
WASSER;18.03.2013;Toluol-4-sulfonsäure;µg/L;0.022;104-15-4;Einzelstoffe;24;795.83;22;1;17.03.2013;22
WASSER;18.03.2013;Valsartan;µg/L;0.059;137862-53-4;Arzneimittel;24;795.83;59;1;17.03.2013;59
WASSER;18.03.2013;Venlafaxin;µg/L;0.012;93413-69-5;Arzneimittel;24;795.83;12;1;17.03.2013;12
WASSER;18.03.2013;Surfynol 104;µg/L;0.13;126-86-3;Einzelstoffe;24;795.83;130;1;17.03.2013;130
WASSER;19.03.2013;1,1,1-Trichlorethan;µg/L;0.001;71-55-6;LHKW;24;829.27;1;1;18.03.2013;1
WASSER;19.03.2013;Dichlormethan;µg/L;0.1;75-09-2;LHKW;24;829.27;100;1;18.03.2013;100
WASSER;19.03.2013;Hexachlorethan;µg/L;0.0007;67-72-1;LHKW;24;829.27;0.7;1;18.03.2013;0.7
WASSER;19.03.2013;Tetrachlorethen;µg/L;0.023;127-18-4;LHKW;24;829.27;23;1;18.03.2013;23
WASSER;19.03.2013;Trichlorethen;µg/L;0.002;79-01-6;LHKW;24;829.27;2;1;18.03.2013;2
WASSER;19.03.2013;2-Naphthalinsulfonsäure;µg/L;0.009;120-18-3;Einzelstoffe;24;829.27;9;1;18.03.2013;9
WASSER;19.03.2013;4-Dimethylaminopyridin;µg/L;0.02;1122-58-3;Einzelstoffe;24;829.27;20;1;18.03.2013;20
WASSER;19.03.2013;4-Formylaminoantipyrin;µg/L;0.021;1672-58-8;Metabolite;24;829.27;21;1;18.03.2013;21
WASSER;19.03.2013;4-Trifluormethyl-phenol;µg/L;0.069;402-45-9;Einzelstoffe;24;829.27;69;1;18.03.2013;69
WASSER;19.03.2013;Acesulfam;µg/L;0.91;33665-90-6;Suessstoffe;24;829.27;910;1;18.03.2013;910
WASSER;19.03.2013;Atenololsäure;µg/L;0.049;56392-14-4;Metabolite;24;829.27;49;1;18.03.2013;49
WASSER;19.03.2013;Atrazin;µg/L;0.006;1912-24-9;Pestizide;24;829.27;6;1;18.03.2013;6
WASSER;19.03.2013;Benzotriazol;µg/L;0.15;95-14-7;Einzelstoffe;24;829.27;150;1;18.03.2013;150
WASSER;19.03.2013;Carbamazepin;µg/L;0.022;298-46-4;Arzneimittel;24;829.27;22;1;18.03.2013;22
WASSER;19.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.023;58955-93-4;Metabolite;24;829.27;23;1;18.03.2013;23
WASSER;19.03.2013;Carbendazim;µg/L;0.006;10605-21-7;Pestizide;24;829.27;6;1;18.03.2013;6
WASSER;19.03.2013;Clarithromycin;µg/L;0.008;81103-11-9;Arzneimittel;24;829.27;8;1;18.03.2013;8
WASSER;19.03.2013;Cyclohexylsulfaminsäure;µg/L;0.073;100-88-9;Suessstoffe;24;829.27;73;1;18.03.2013;73
WASSER;19.03.2013;Cyproconazol;µg/L;0.022;94361-06-5;Pestizide;24;829.27;22;1;18.03.2013;22
WASSER;19.03.2013;DEET;µg/L;0.01;134-62-3;Pestizide;24;829.27;10;1;18.03.2013;10
WASSER;19.03.2013;Desethylatrazin;µg/L;0.007;6190-65-4;Metabolite;24;829.27;7;1;18.03.2013;7
WASSER;19.03.2013;Diclofenac;µg/L;0.027;15307-79-6;Arzneimittel;24;829.27;27;1;18.03.2013;27
WASSER;19.03.2013;Hydrochlorothiazid;µg/L;0.02;58-93-5;Arzneimittel;24;829.27;20;1;18.03.2013;20
WASSER;19.03.2013;Isoproturon;µg/L;0.001;34123-59-6;Pestizide;24;829.27;1;1;18.03.2013;1
WASSER;19.03.2013;Lamotrigin;µg/L;0.025;84057-84-1;Arzneimittel;24;829.27;25;1;18.03.2013;25
WASSER;19.03.2013;Levetiracetam;µg/L;0.013;102767-28-2;Arzneimittel;24;829.27;13;1;18.03.2013;13
WASSER;19.03.2013;Metformin;µg/L;0.42;657-24-9;Arzneimittel;24;829.27;420;1;18.03.2013;420
WASSER;19.03.2013;Metolachlor-ESA;µg/L;0.012;171118-09-5;Metabolite;24;829.27;12;1;18.03.2013;12
WASSER;19.03.2013;Metoprolol;µg/L;0.01;37350-58-6;Arzneimittel;24;829.27;10;1;18.03.2013;10
WASSER;19.03.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.22;83-15-8;Metabolite;24;829.27;220;1;18.03.2013;220
WASSER;19.03.2013;Paracetamol;µg/L;0.016;103-90-2;Arzneimittel;24;829.27;16;1;18.03.2013;16
WASSER;19.03.2013;Saccharin;µg/L;0.08;81-07-2;Suessstoffe;24;829.27;80;1;18.03.2013;80
WASSER;19.03.2013;Sucralose;µg/L;0.11;56038-13-2;Suessstoffe;24;829.27;110;1;18.03.2013;110
WASSER;19.03.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.13;KEINE NUMMER MOEGLICH;Metabolite;24;829.27;130;1;18.03.2013;130
WASSER;19.03.2013;Summe Iomeprol und Iopamidol;µg/L;0.55;KEINE NUMMER MOEGLICH;Roentgenkontrastmittel;24;829.27;550;1;18.03.2013;550
WASSER;19.03.2013;Summe O-Desvenlafaxin und N-Desvenlafaxin und Tramadol;µg/L;0.03;KEINE NUMMER MOEGLICH;Arzneimittel;24;829.27;30;1;18.03.2013;30
WASSER;19.03.2013;Tizanidin;µg/L;0.01;51322-75-9;Arzneimittel;24;829.27;10;1;18.03.2013;10
WASSER;19.03.2013;Toluol-4-sulfonsäure;µg/L;0.01;104-15-4;Einzelstoffe;24;829.27;10;1;18.03.2013;10
WASSER;19.03.2013;Triphenylphosphinoxid;µg/L;0.68;791-28-6;Einzelstoffe;24;829.27;680;1;18.03.2013;680
WASSER;19.03.2013;Valsartan;µg/L;0.041;137862-53-4;Arzneimittel;24;829.27;41;1;18.03.2013;41
WASSER;19.03.2013;Valsartansäure;µg/L;0.01;164265-78-5;Metabolite;24;829.27;10;1;18.03.2013;10
WASSER;19.03.2013;Venlafaxin;µg/L;0.007;93413-69-5;Arzneimittel;24;829.27;7;1;18.03.2013;7
WASSER;19.03.2013;2-Naphthalinsulfonsäure;µg/L;0.006;120-18-3;Einzelstoffe;24;829.27;6;1;18.03.2013;6
WASSER;19.03.2013;4-Dimethylaminopyridin;µg/L;0.018;1122-58-3;Einzelstoffe;24;829.27;18;1;18.03.2013;18
WASSER;19.03.2013;Acesulfam;µg/L;0.62;33665-90-6;Suessstoffe;24;829.27;620;1;18.03.2013;620
WASSER;19.03.2013;Benzotriazol;µg/L;0.17;95-14-7;Einzelstoffe;24;829.27;170;1;18.03.2013;170
WASSER;19.03.2013;Carbamazepin;µg/L;0.022;298-46-4;Arzneimittel;24;829.27;22;1;18.03.2013;22
WASSER;19.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.024;58955-93-4;Metabolite;24;829.27;24;1;18.03.2013;24
WASSER;19.03.2013;Carbendazim;µg/L;0.005;10605-21-7;Pestizide;24;829.27;5;1;18.03.2013;5
WASSER;19.03.2013;Clarithromycin;µg/L;0.007;81103-11-9;Arzneimittel;24;829.27;7;1;18.03.2013;7
WASSER;19.03.2013;Cyproconazol;µg/L;0.02;94361-06-5;Pestizide;24;829.27;20;1;18.03.2013;20
WASSER;19.03.2013;DEET;µg/L;0.011;134-62-3;Pestizide;24;829.27;11;1;18.03.2013;11
WASSER;19.03.2013;Desethylatrazin;µg/L;0.006;6190-65-4;Metabolite;24;829.27;6;1;18.03.2013;6
WASSER;19.03.2013;Diclofenac;µg/L;0.027;15307-79-6;Arzneimittel;24;829.27;27;1;18.03.2013;27
WASSER;19.03.2013;Isoproturon;µg/L;0.001;34123-59-6;Pestizide;24;829.27;1;1;18.03.2013;1
WASSER;19.03.2013;Metformin;µg/L;0.36;657-24-9;Arzneimittel;24;829.27;360;1;18.03.2013;360
WASSER;19.03.2013;Metolachlor;µg/L;0.005;51218-45-2;Pestizide;24;829.27;5;1;18.03.2013;5
WASSER;19.03.2013;Metolachlor-ESA;µg/L;0.012;171118-09-5;Metabolite;24;829.27;12;1;18.03.2013;12
WASSER;19.03.2013;Metolachlor-morpholinon;µg/L;0.004;120375-14-6;Metabolite;24;829.27;4;1;18.03.2013;4
WASSER;19.03.2013;Metoprolol;µg/L;0.011;37350-58-6;Arzneimittel;24;829.27;11;1;18.03.2013;11
WASSER;19.03.2013;Sulfamethoxazol;µg/L;0.012;723-46-6;Arzneimittel;24;829.27;12;1;18.03.2013;12
WASSER;19.03.2013;Summe 4-Methylbenzotriazol und 5-Methylbenzotriazol;µg/L;0.11;29385-43-1;Einzelstoffe;24;829.27;110;1;18.03.2013;110
WASSER;19.03.2013;Tizanidin;µg/L;0.016;51322-75-9;Arzneimittel;24;829.27;16;1;18.03.2013;16
WASSER;19.03.2013;Toluol-4-sulfonsäure;µg/L;0.025;104-15-4;Einzelstoffe;24;829.27;25;1;18.03.2013;25
WASSER;19.03.2013;Valsartan;µg/L;0.041;137862-53-4;Arzneimittel;24;829.27;41;1;18.03.2013;41
WASSER;19.03.2013;Venlafaxin;µg/L;0.008;93413-69-5;Arzneimittel;24;829.27;8;1;18.03.2013;8
WASSER;19.03.2013;Surfynol 104;µg/L;0.091;126-86-3;Einzelstoffe;24;829.27;91;1;18.03.2013;91
WASSER;20.03.2013;Dichlormethan;µg/L;0.079;75-09-2;LHKW;24;845.09;79;1;19.03.2013;79
WASSER;20.03.2013;Hexachlorethan;µg/L;0.0004;67-72-1;LHKW;24;845.09;0.4;1;19.03.2013;0.4
WASSER;20.03.2013;Tetrachlorethen;µg/L;0.023;127-18-4;LHKW;24;845.09;23;1;19.03.2013;23
WASSER;20.03.2013;Trichlorethen;µg/L;0.002;79-01-6;LHKW;24;845.09;2;1;19.03.2013;2
WASSER;20.03.2013;2-Naphthalinsulfonsäure;µg/L;0.009;120-18-3;Einzelstoffe;24;845.09;9;1;19.03.2013;9
WASSER;20.03.2013;4-Dimethylaminopyridin;µg/L;0.021;1122-58-3;Einzelstoffe;24;845.09;21;1;19.03.2013;21
WASSER;20.03.2013;4-Formylaminoantipyrin;µg/L;0.029;1672-58-8;Metabolite;24;845.09;29;1;19.03.2013;29
WASSER;20.03.2013;4-Trifluormethyl-phenol;µg/L;0.053;402-45-9;Einzelstoffe;24;845.09;53;1;19.03.2013;53
WASSER;20.03.2013;Acesulfam;µg/L;1.1;33665-90-6;Suessstoffe;24;845.09;1100;1;19.03.2013;1100
WASSER;20.03.2013;Atenololsäure;µg/L;0.054;56392-14-4;Metabolite;24;845.09;54;1;19.03.2013;54
WASSER;20.03.2013;Atrazin;µg/L;0.007;1912-24-9;Pestizide;24;845.09;7;1;19.03.2013;7
WASSER;20.03.2013;Benzotriazol;µg/L;0.21;95-14-7;Einzelstoffe;24;845.09;210;1;19.03.2013;210
WASSER;20.03.2013;Carbamazepin;µg/L;0.032;298-46-4;Arzneimittel;24;845.09;32;1;19.03.2013;32
WASSER;20.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.035;58955-93-4;Metabolite;24;845.09;35;1;19.03.2013;35
WASSER;20.03.2013;Carbendazim;µg/L;0.006;10605-21-7;Pestizide;24;845.09;6;1;19.03.2013;6
WASSER;20.03.2013;Clarithromycin;µg/L;0.009;81103-11-9;Arzneimittel;24;845.09;9;1;19.03.2013;9
WASSER;20.03.2013;Cyclohexylsulfaminsäure;µg/L;0.047;100-88-9;Suessstoffe;24;845.09;47;1;19.03.2013;47
WASSER;20.03.2013;Cyproconazol;µg/L;0.033;94361-06-5;Pestizide;24;845.09;33;1;19.03.2013;33
WASSER;20.03.2013;DEET;µg/L;0.01;134-62-3;Pestizide;24;845.09;10;1;19.03.2013;10
WASSER;20.03.2013;Desethylatrazin;µg/L;0.008;6190-65-4;Metabolite;24;845.09;8;1;19.03.2013;8
WASSER;20.03.2013;Diclofenac;µg/L;0.025;15307-79-6;Arzneimittel;24;845.09;25;1;19.03.2013;25
WASSER;20.03.2013;Diuron;µg/L;0.006;330-54-1;Pestizide;24;845.09;6;1;19.03.2013;6
WASSER;20.03.2013;Hydrochlorothiazid;µg/L;0.025;58-93-5;Arzneimittel;24;845.09;25;1;19.03.2013;25
WASSER;20.03.2013;Isoproturon;µg/L;0.001;34123-59-6;Pestizide;24;845.09;1;1;19.03.2013;1
WASSER;20.03.2013;Lamotrigin;µg/L;0.027;84057-84-1;Arzneimittel;24;845.09;27;1;19.03.2013;27
WASSER;20.03.2013;Levetiracetam;µg/L;0.014;102767-28-2;Arzneimittel;24;845.09;14;1;19.03.2013;14
WASSER;20.03.2013;Metformin;µg/L;0.58;657-24-9;Arzneimittel;24;845.09;580;1;19.03.2013;580
WASSER;20.03.2013;Metolachlor-ESA;µg/L;0.015;171118-09-5;Metabolite;24;845.09;15;1;19.03.2013;15
WASSER;20.03.2013;Metoprolol;µg/L;0.014;37350-58-6;Arzneimittel;24;845.09;14;1;19.03.2013;14
WASSER;20.03.2013;N-Acetyl-4-aminoantipyrin;µg/L;0.29;83-15-8;Metabolite;24;845.09;290;1;19.03.2013;290
WASSER;20.03.2013;Paracetamol;µg/L;0.016;103-90-2;Arzneimittel;24;845.09;16;1;19.03.2013;16
WASSER;20.03.2013;Propachlor-ESA;µg/L;0.018;123732-85-4;Metabolite;24;845.09;18;1;19.03.2013;18
WASSER;20.03.2013;Saccharin;µg/L;0.077;81-07-2;Suessstoffe;24;845.09;77;1;19.03.2013;77
WASSER;20.03.2013;Sitagliptin;µg/L;0.014;486460-32-6;Arzneimittel;24;845.09;14;1;19.03.2013;14
WASSER;20.03.2013;Sucralose;µg/L;0.093;56038-13-2;Suessstoffe;24;845.09;93;1;19.03.2013;93
WASSER;20.03.2013;Summe 5-Methyl-Benzotriazol und 4-Methyl-Benzotriazol und 1-Methylbenzotriazol und 2-Aminobenzimidazol;µg/L;0.14;KEINE NUMMER MOEGLICH;Metabolite;24;845.09;140;1;19.03.2013;140
WASSER;20.03.2013;Summe O-Desvenlafaxin und N-Desvenlafaxin und Tramadol;µg/L;0.037;KEINE NUMMER MOEGLICH;Arzneimittel;24;845.09;37;1;19.03.2013;37
WASSER;20.03.2013;Telmisartan;µg/L;0.011;144701-48-4;Arzneimittel;24;845.09;11;1;19.03.2013;11
WASSER;20.03.2013;Tizanidin;µg/L;0.016;51322-75-9;Arzneimittel;24;845.09;16;1;19.03.2013;16
WASSER;20.03.2013;Toluol-4-sulfonsäure;µg/L;0.013;104-15-4;Einzelstoffe;24;845.09;13;1;19.03.2013;13
WASSER;20.03.2013;Triphenylphosphinoxid;µg/L;0.12;791-28-6;Einzelstoffe;24;845.09;120;1;19.03.2013;120
WASSER;20.03.2013;Valsartan;µg/L;0.055;137862-53-4;Arzneimittel;24;845.09;55;1;19.03.2013;55
WASSER;20.03.2013;Valsartansäure;µg/L;0.021;164265-78-5;Metabolite;24;845.09;21;1;19.03.2013;21
WASSER;20.03.2013;Venlafaxin;µg/L;0.01;93413-69-5;Arzneimittel;24;845.09;10;1;19.03.2013;10
WASSER;20.03.2013;4-Dimethylaminopyridin;µg/L;0.022;1122-58-3;Einzelstoffe;24;845.09;22;1;19.03.2013;22
WASSER;20.03.2013;Acesulfam;µg/L;0.8;33665-90-6;Suessstoffe;24;845.09;800;1;19.03.2013;800
WASSER;20.03.2013;Atenolol;µg/L;0.011;29122-68-7;Arzneimittel;24;845.09;11;1;19.03.2013;11
WASSER;20.03.2013;Benzotriazol;µg/L;0.23;95-14-7;Einzelstoffe;24;845.09;230;1;19.03.2013;230
WASSER;20.03.2013;Carbamazepin;µg/L;0.026;298-46-4;Arzneimittel;24;845.09;26;1;19.03.2013;26
WASSER;20.03.2013;Carbamazepin-10,11-dihydro-10,11-dihydroxy;µg/L;0.034;58955-93-4;Metabolite;24;845.09;34;1;19.03.2013;34
WASSER;20.03.2013;Carbendazim;µg/L;0.007;10605-21-7;Pestizide;24;845.09;7;1;19.03.2013;7
WASSER;20.03.2013;Chlortoluron;µg/L;0.001;15545-48-9;Pestizide;24;845.09;1;1;19.03.2013;1
WASSER;20.03.2013;Clarithromycin;µg/L;0.008;81103-11-9;Arzneimittel;24;845.09;8;1;19.03.2013;8
WASSER;20.03.2013;Cyproconazol;µg/L;0.027;94361-06-5;Pestizide;24;845.09;27;1;19.03.2013;27
WASSER;20.03.2013;DEET;µg/L;0.012;134-62-3;Pestizide;24;845.09;12;1;19.03.2013;12
WASSER;20.03.2013;Desethylatrazin;µg/L;0.006;6190-65-4;Metabolite;24;845.09;6;1;19.03.2013;6
WASSER;20.03.2013;Diclofenac;µg/L;0.039;15307-79-6;Arzneimittel;24;845.09;39;1;19.03.2013;39
WASSER;20.03.2013;Diuron;µg/L;0.005;330-54-1;Pestizide;24;845.09;5;1;19.03.2013;5
WASSER;20.03.2013;Isoproturon;µg/L;0.002;34123-59-6;Pestizide;24;845.09;2;1;19.03.2013;2
